customer_id,session_date,age,destination,first_browser,language,booking
1,2021-03-16 10:43:46,,NDF,IE,en,1
2,2021-11-12 02:12:40,28.0,NDF,Chrome,en,1
3,2021-01-11 20:49:15,,GB,-unknown-,en,1
4,2021-03-29 08:54:20,32.0,NDF,Safari,en,1
5,2021-10-05 15:45:37,,NDF,IE,en,1
6,2021-06-04 09:38:38,28.0,ES,Firefox,en,1
7,2021-03-09 03:21:30,26.0,US,Safari,en,1
8,2021-07-23 23:16:02,28.0,IT,Chrome,en,1
9,2021-02-15 05:35:22,,US,Safari,en,1
10,2021-11-24 22:10:14,39.0,NDF,Mobile Safari,en,1
11,2021-12-10 20:25:47,43.0,NDF,Safari,en,1
12,2021-11-28 07:42:40,33.0,US,Chrome,en,1
13,2021-10-07 11:32:41,,NDF,Safari,en,1
14,2021-11-18 23:49:57,34.0,NDF,Mobile Safari,en,1
15,2021-06-22 02:07:01,,NDF,-unknown-,en,1
16,2021-08-18 14:01:37,45.0,US,Chrome Mobile,en,1
17,2021-01-06 06:06:23,,US,IE,en,1
18,2021-06-20 18:22:01,38.0,US,Firefox,en,1
19,2021-07-09 09:13:38,,NDF,Firefox,en,1
20,2021-08-20 06:18:24,,NDF,Safari,en,1
21,2021-05-11 21:26:07,,NDF,Mobile Safari,en,1
22,2021-05-23 04:21:36,58.0,US,Safari,en,1
23,2021-03-03 04:09:23,,IT,Chrome,en,1
24,2021-08-02 19:52:42,33.0,US,-unknown-,en,1
25,2021-09-01 20:54:41,66.0,NDF,Chrome,en,1
26,2021-04-06 16:51:19,63.0,NDF,IE,en,1
27,2021-03-13 22:47:45,,NDF,Chrome Mobile,en,1
28,2021-06-14 20:11:07,46.0,GB,Safari,en,1
29,2021-08-30 06:12:09,,other,Firefox,en,1
30,2021-07-23 16:40:50,24.0,NDF,-unknown-,en,1
31,2021-05-18 01:47:23,43.0,FR,Chrome,en,1
32,2021-11-27 21:27:54,44.0,US,Firefox,en,1
33,2021-10-13 21:58:23,24.0,NDF,-unknown-,fr,1
34,2021-01-25 00:25:20,26.0,NDF,Safari,en,1
35,2021-08-30 15:07:12,,US,Safari,zh,1
36,2021-06-12 15:43:44,,NDF,-unknown-,en,1
37,2021-03-07 20:11:39,37.0,US,Safari,en,1
38,2021-02-13 04:57:14,28.0,other,Safari,en,1
39,2021-12-21 05:28:59,54.0,NDF,Safari,en,1
40,2021-08-27 03:08:13,,NDF,Safari,en,1
41,2021-10-21 02:22:20,,other,-unknown-,en,1
42,2021-04-16 08:35:53,,NDF,IE,en,1
43,2021-02-22 10:03:14,,NDF,Safari,en,1
44,2021-08-04 23:53:07,38.0,NDF,Safari,en,1
45,2021-04-19 18:37:38,30.0,NDF,Mobile Safari,en,1
46,2021-09-03 12:42:37,34.0,NDF,Chrome,en,1
47,2021-11-09 23:40:48,56.0,NDF,IE,en,1
48,2021-07-24 15:11:39,26.0,US,Safari,en,1
49,2021-02-02 03:26:23,22.0,other,Chrome,en,1
50,2021-10-25 00:25:32,24.0,NL,Mobile Safari,en,1
51,2021-04-25 21:05:43,41.0,DE,Firefox,en,1
52,2021-05-14 18:03:42,,US,Chrome,en,1
53,2021-02-17 05:06:54,,US,IE,en,1
54,2021-04-26 01:30:40,26.0,US,Chrome,en,1
55,2021-11-17 04:56:27,31.0,US,Chrome,en,1
56,2021-04-01 04:25:00,25.0,other,Chrome,en,1
57,2021-07-27 03:17:48,30.0,NDF,Chrome,en,1
58,2021-09-23 17:28:24,37.0,NDF,IE,en,1
59,2021-02-14 14:59:15,,NDF,Chrome,en,1
60,2021-11-30 12:25:44,53.0,NDF,-unknown-,en,1
61,2021-09-02 04:38:06,105.0,NDF,IE,en,1
62,2021-09-27 09:12:59,,NDF,Safari,en,1
63,2021-01-22 07:09:36,,NDF,Mobile Safari,en,1
64,2021-10-29 03:58:36,34.0,NDF,IE,en,1
65,2021-07-06 04:59:46,46.0,NDF,Safari,en,1
66,2021-08-17 13:00:48,,US,Chrome,en,1
67,2021-06-09 07:54:50,24.0,US,Safari,en,1
68,2021-11-16 15:20:15,33.0,NDF,Safari,en,1
69,2021-10-24 20:09:56,24.0,US,Safari,en,1
70,2021-05-26 11:44:45,46.0,NDF,Mobile Safari,en,1
71,2021-10-27 19:47:08,26.0,US,Firefox,en,1
72,2021-10-27 02:11:59,29.0,other,Firefox,en,1
73,2021-11-12 06:06:40,27.0,NDF,Safari,en,1
74,2021-01-22 15:14:34,44.0,NL,Firefox,en,1
75,2021-04-10 01:16:26,,NDF,Chrome,en,1
76,2021-10-03 10:56:11,,NDF,-unknown-,en,1
77,2021-04-10 22:26:11,28.0,US,Chrome,en,1
78,2021-03-11 16:02:53,36.0,NDF,Safari,en,1
79,2021-12-05 05:18:08,,NDF,Chrome,en,1
80,2021-10-29 10:09:38,29.0,US,Safari,en,1
81,2021-01-07 12:43:50,,US,Safari,en,1
82,2021-05-31 07:37:19,55.0,US,-unknown-,en,1
83,2021-07-23 23:54:25,34.0,US,Chrome,en,1
84,2021-12-08 18:36:02,23.0,NDF,Chrome,en,1
85,2021-08-06 01:03:12,,NDF,Chrome,en,1
86,2021-01-03 08:47:50,19.0,NDF,Safari,en,1
87,2021-03-15 19:50:28,,NDF,Safari,en,1
88,2021-03-30 00:13:14,,NDF,Safari,en,1
89,2021-03-22 15:53:35,58.0,NDF,Chrome,en,1
90,2021-06-20 19:34:35,,US,Safari,fr,1
91,2021-11-13 03:02:10,44.0,NDF,Safari,en,1
92,2021-08-15 04:03:30,18.0,IT,Chrome,en,1
93,2021-12-11 20:38:32,,US,Safari,en,1
94,2021-10-13 13:08:58,30.0,NDF,Chrome,en,1
95,2021-04-17 02:19:38,32.0,US,Chrome,en,1
96,2021-02-11 15:45:15,,FR,Safari,en,1
97,2021-06-03 18:21:01,52.0,NDF,Safari,en,1
98,2021-07-01 20:01:08,29.0,NDF,Firefox,en,1
99,2021-08-13 18:59:30,28.0,NDF,Safari,en,1
100,2021-12-29 22:29:32,26.0,NDF,Chrome,en,1
101,2021-09-29 01:39:47,,US,-unknown-,en,1
102,2021-06-08 17:57:31,36.0,US,Chrome,en,1
103,2021-06-18 08:44:28,31.0,US,Chrome,en,1
104,2021-11-22 21:30:55,76.0,NDF,AOL Explorer,en,1
105,2021-02-07 03:50:17,45.0,US,Mobile Safari,en,1
106,2021-01-01 02:55:05,32.0,US,Firefox,en,1
107,2021-07-11 13:44:54,,NDF,Safari,en,1
108,2021-04-07 03:01:36,,NDF,Safari,en,1
109,2021-03-13 00:17:10,,FR,Safari,en,1
110,2021-05-05 23:36:40,30.0,NDF,Safari,en,1
111,2021-08-06 05:27:44,,NDF,IE,en,1
112,2021-07-29 11:50:27,42.0,FR,Chrome,en,1
113,2021-12-14 02:01:14,,NDF,Chrome,en,1
114,2021-10-26 03:03:38,51.0,NDF,Mobile Safari,en,1
115,2021-06-08 08:17:49,35.0,IT,Chrome,en,1
116,2021-05-14 18:52:55,33.0,NDF,Firefox,en,1
117,2021-05-21 03:28:13,28.0,US,Chrome,en,1
118,2021-05-03 05:28:29,37.0,NDF,Mobile Safari,fr,1
119,2021-04-29 20:25:32,,NDF,Chrome,sv,1
120,2021-08-02 23:34:52,30.0,NDF,Chrome,en,1
121,2021-03-25 14:20:20,,NDF,Safari,en,1
122,2021-03-03 10:11:05,37.0,US,Chrome,en,1
123,2021-09-11 09:59:47,50.0,NDF,Mobile Safari,en,1
124,2021-04-13 13:52:33,47.0,US,Safari,en,1
125,2021-07-18 02:34:21,23.0,US,Chrome,ko,1
126,2021-01-29 01:46:02,32.0,US,Safari,en,1
127,2021-03-04 05:23:25,,US,Chrome,en,1
128,2021-09-14 00:05:56,70.0,ES,IE,en,1
129,2021-12-04 11:33:53,23.0,US,Chrome,en,1
130,2021-08-18 12:53:19,,NDF,IE,en,1
131,2021-02-08 00:29:04,,NDF,Safari,en,1
